sample_id,gold_german_source,gold_english_reference,audio_path,whisper_hypothesis,whisper_inference_time_ms,whisper_asr_wer,whisper_asr_cer,clean_fp32_translation,clean_int8_translation,whisper_asr_fp32_translation,whisper_asr_int8_translation,chrf_clean_f,chrf_clean_i,chrf_whisper_asr_f,chrf_whisper_asr_i,delta_clean,delta_whisper_asr,did_whisper,comet_clean_f,comet_clean_i,comet_whisper_asr_f_e2e,comet_whisper_asr_i_e2e,comet_whisper_asr_f_mt,comet_whisper_asr_i_mt,comet_delta_clean,comet_delta_whisper_asr,comet_did_whisper
common_voice_de_17325303,Insbesondere keine Topflappen.,Especially no potholders.,D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\covost2\common_voice_de_17325303.wav,In Spasson der Kainettopflaffen.,4261.860500000012,1.3333333333333333,0.3448275862068966,Especially no potholders.,Especially no potholders.,In Spasson of the Cainetop monkeys.,In Spasson of the Cainetop monkeys.,100.0,100.0,13.08603727185131,13.08603727185131,0.0,0.0,0.0,1.2607932090759277,1.2607932090759277,-1.6089801788330078,-1.6089801788330078,-1.7574949264526367,-1.7574949264526367,0.0,0.0,0.0
common_voice_de_17328166,Wäre das eine geeignete Kodierung oder eher nicht?,Would this be a suitable coding or not?,D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\covost2\common_voice_de_17328166.wav,Wir haben das eine Geheimnite koviere und die E-Nicht.,4212.757800000077,0.875,0.40816326530612246,Would that be an appropriate coding or rather not?,Would that be an appropriate coding or rather not?,"We've got a secret nite, and the e-not.",We've got a secret nite and the e-not.,45.8108283568204,45.8108283568204,13.245117208097348,13.755014938858393,0.0,0.509897730761045,0.509897730761045,0.7972486019134521,0.7972486019134521,-1.591138482093811,-1.587846040725708,-1.8323109149932861,-1.8192449808120728,0.0,0.0032924413681030273,0.0032924413681030273
common_voice_de_17334370,Haben wir noch genügend Rohstoffe?,Do we still have enough resources?,D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\covost2\common_voice_de_17334370.wav,Haben wir noch genügend Rohstoffe?,2873.076200000014,0.0,0.0,Do we still have enough raw materials?,Do we still have enough raw materials?,Do we still have enough raw materials?,Do we still have enough raw materials?,68.936550154663,68.936550154663,68.936550154663,68.936550154663,0.0,0.0,0.0,0.7613464593887329,0.7613464593887329,0.7613465189933777,0.7613465189933777,0.7613464593887329,0.7613464593887329,0.0,0.0,0.0
common_voice_de_17385186,"Leonie und Paul streiten sich darum, wer als erstes auf das Schaukelpferd darf.",Leonie and Paul argue about who gets to go on the rocking horse first.,D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\covost2\common_voice_de_17385186.wav,"Leonie und Paul streiten sich darum, wer als erstes auf das Schauke tät darf.",3091.310700000008,0.15384615384615385,0.07792207792207792,Leonie and Paul argue about who gets to be the first one on the rocking horse.,Leonie and Paul are arguing about who can be the first on the rocking horse.,Leonie and Paul are arguing about who can be the first to be seen.,Leonie and Paul argue about who can do the show first.,84.06776111864497,66.02541768003428,47.44555144795506,55.55230084029994,-18.042343438610686,8.10674939234488,26.149092830955567,0.7629798650741577,0.7322128415107727,-0.33461540937423706,0.05373888462781906,-0.3921969532966614,-0.03137391805648804,-0.03076702356338501,0.3883542940020561,0.41912131756544113
common_voice_de_17448293,"In Kontakt mit anderen Menschen zu bleiben, senkt das Risiko, an Demenz zu erkranken.",Staying in contact with other people reduces the risk of developing dementia.,D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\covost2\common_voice_de_17448293.wav,In Kontakt mit anderen Menschen zu bleiben senkt das Risiko an Demenz zu erkranken.,3188.510400000041,0.0,0.0,Staying in contact with other people reduces the risk of developing dementia.,Staying in contact with other people reduces the risk of developing dementia.,Staying in contact with other people reduces the risk of dementia.,Staying in contact with other people reduces the risk of dementia.,100.0,100.0,86.31013332761735,86.31013332761735,0.0,0.0,0.0,1.0474164485931396,1.0474164485931396,0.9669542908668518,0.9669542908668518,0.9640440344810486,0.9640440344810486,0.0,0.0,0.0
common_voice_de_17505848,"Es ist bedauerlich, wie viele Kinder beim Laternenumzug nur noch LED-Laternen tragen dürfen.",It is regrettable how many children are allowed to only carry LED lanterns during the lantern walk,D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\covost2\common_voice_de_17505848.wav,Es ist bedauerlich wie viele Kinder beim Latternen umzugten nur noch LED-Latternen tragen dürfen.,3280.7136999999784,0.23076923076923078,0.06741573033707865,It is unfortunate how many children are allowed to wear only LED lanterns during the lantern move.,It is regrettable how many children are allowed to wear only LED lanterns during the lantern move.,It is unfortunate how many children are allowed to wear only LED latters when moving latters.,It is unfortunate how many children are allowed to wear only LED latters during lattering.,70.42476661823231,83.45139235917031,48.77534477350465,52.56917112642897,13.026625740938002,3.79382635292432,-9.232799388013682,0.7527487874031067,0.8023668527603149,-0.5189641118049622,-0.4610902965068817,-0.5929708480834961,-0.4924039840698242,0.04961806535720825,0.057873815298080444,0.008255749940872192
common_voice_de_17526181,Noch im Bademantel schlurfte er zum Kühlschrank und griff sich einen Jogurt.,"Still dressed in his bathrobe, he shuffled over to the fridge and grabbed a yogurt.",D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\covost2\common_voice_de_17526181.wav,Noch im Bademantel schlurft er zum Kühlschrank und grüß sich einen Yogurt.,3687.0963000000074,0.25,0.06666666666666667,"Still in his bathrobe, he slurped to the fridge and grabbed a yogurt.",Still in the bathrobe he slurped to the fridge and grabbed a yogurt.,"Still in his bathrobe, he slurps to the fridge and greets himself with a yoghurt.","Still in his bathrobe, he slurps to the fridge and greets himself with a yoghurt.",71.26857939553074,58.407600458413015,55.03407666164488,55.03407666164488,-12.860978937117721,0.0,12.860978937117721,0.6437933444976807,0.5302076935768127,0.3386644124984741,0.3386644124984741,0.3536757230758667,0.3536757230758667,-0.11358565092086792,0.0,0.11358565092086792
common_voice_de_17586393,Die Uhr geht falsch.,The clock is showing the wrong time.,D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\covost2\common_voice_de_17586393.wav,Die Uhr geht falsch.,3024.9972999999954,0.0,0.0,The clock's wrong.,The clock's wrong.,The clock's wrong.,The clock's wrong.,29.821325534408583,29.821325534408583,29.821325534408583,29.821325534408583,0.0,0.0,0.0,-0.43217647075653076,-0.43217647075653076,-0.43217647075653076,-0.43217647075653076,-0.43217647075653076,-0.43217647075653076,0.0,0.0,0.0
common_voice_de_17655021,Die Stadt Aachen verteilt bereits vorsorglich Jodtabletten.,The city of Aachen already distributes preventative iodine tablets.,D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\covost2\common_voice_de_17655021.wav,Die Stadt Aachen verteilt bereits vorsorglich Jotabletten.,2991.6699000000335,0.14285714285714285,0.017241379310344827,The city of Aachen already distributes precautionously iodine tablets.,The city of Aachen already distributes precautionarily iodine tablets.,The city of Aachen already distributes precautionously jotablets.,The city of Aachen already distributes precautionously jotablets.,81.05667089441168,81.05667089441168,69.40652316989862,69.40652316989862,0.0,0.0,0.0,0.82840496301651,0.9053487181663513,-0.07629693299531937,-0.07629693299531937,-0.044298987835645676,-0.044298987835645676,0.07694375514984131,0.0,-0.07694375514984131
common_voice_de_17762173,Haben wir noch Nudeln?,Do we still have noodles?,D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\covost2\common_voice_de_17762173.wav,Haben wir noch nur den?,2957.6495000000023,0.5,0.14285714285714285,Do we still have noodles?,Do we still have noodles?,All we got left is this?,All we got left is this?,100.0,100.0,15.77795129370894,15.77795129370894,0.0,0.0,0.0,1.18973708152771,1.18973708152771,-1.1979148387908936,-1.1979148387908936,-1.2144479751586914,-1.2144479751586914,0.0,0.0,0.0
